territory_id,pair_id,reef_location,fish_id,fish_no,fertilizer_trt,total_length,standard_length,total_body_weight,gutted_body_weight,liver_weight,gonad_weight,sex,intestine_length,intestine_diameter_1,intestine_diameter_2,intestine_diameter_3,intestine_diameter_4,intestine_diameter_5,intestine_diameter_6,intestine_diameter_7,intestine_diameter_8,intestine_diameter_9,intestine_diameter_10,mean_intestine_diameter,intestinal_surface_area,gut_fullness_index,gonadosomatic_index,hepatosomatic_index,body_condition_factor
14,G-Fringing,Fringing,14-1,1,N,8.4,6.1,13,11.5,0.0506,0.0127,M,19.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,24.25309529,12.49304348,0.110434783,0.44,1.940260231
3,B-Fringing,Fringing,1-Mar,1,N,12.1,8.6,48.2,45.1,0.1055,0.0609,M,19.4,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.33,40.22495234,6.504656319,0.135033259,0.233924612,2.545777425
53,L-Backreef,Backreef,53-1,1,N,13.4,9.5,56.6,52.2,0.433,0.0801,F,31.4,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.4,0.3,0.5,0.29,57.21468541,7.446168582,0.153448276,0.829501916,2.169482283
51,K-Backreef,Backreef,51-2,2,Y,13.3,9.9,57.9,52.2,0.3053,0.0829,M,31.4,0.4,0.4,0.4,0.3,0.4,0.2,0.5,0.4,0.5,0.5,0.4,78.91680746,10.17586207,0.158812261,0.5848659,2.218786834
56,M-Backreef,Backreef,56-1,1,N,14,10.9,67.3,61.6,0.3951,0.1051,M,35.2,0.3,0.3,0.4,0.5,0.2,0.2,0.4,0.5,0.5,0.6,0.39,86.2555679,8.441233766,0.170616883,0.641396104,2.244897959
19,J-Fringing,Fringing,19-2,2,N,9.6,7.4,23.5,20.9,0.0543,0.0378,M,19.6,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.31,38.17663393,11.99952153,0.180861244,0.259808612,2.362286603
38,D-Backreef,Backreef,38-2,2,N,10.1,7.2,28.2,26.1,0.0669,0.0485,M,16.8,0.4,0.2,0.2,0.1,0.3,0.3,0.3,0.4,0.3,0.3,0.28,29.55610368,7.603831418,0.185823755,0.256321839,2.533240286
2,A-Fringing,Fringing,3-Feb,3,Y,13.8,10.5,58.5,57.4,0.076,0.1102,M,21.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,26.89203311,1.591986063,0.191986063,0.132404181,2.184110633
38,D-Backreef,Backreef,38-1,1,N,14.1,10.6,71.6,67.9,0.42532,0.1384,M,31.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.32,63.13344597,4.618969072,0.203829161,0.626391753,2.422213589
30,O-Fringing,Fringing,30-1,1,Y,14,10.3,64.4,59.7,0.3474,0.1274,M,35.6,0.3,0.4,0.4,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.34,76.05167496,7.077386935,0.213400335,0.581909548,2.175655977
34,B-Backreef,Backreef,34-1,1,N,13.6,10.5,65.8,60.6,0.154,0.1368,F,28.6,0.4,0.4,0.6,0.2,0.3,0.3,0.3,0.4,0.2,0.4,0.35,62.89468492,8.100990099,0.225742574,0.254125413,2.409105943
47,I-Backreef,Backreef,47-7,7,Y,14.4,10.6,61.6,58.5,0.117,0.135,M,22.4,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.37,52.07503983,4.868376068,0.230769231,0.2,1.959153164
45,H-Backreef,Backreef,45-2,2,N,13,9.2,63.7,60,0.3045,0.139,M,28.9,0.2,0.2,0.2,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.28,50.84353551,5.4275,0.231666667,0.5075,2.730996814
10,E-Fringing,Fringing,4-Oct,4,Y,11.5,8.4,46.4,40.3,0.1192,0.0942,M,31.6,0.5,0.6,0.6,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.4,79.41946228,14.60694789,0.233746898,0.295781638,2.649790417
13,G-Fringing,Fringing,13-1,1,Y,9.2,7,19.7,18.1,0.0336,0.0436,M,13.6,0.2,0.2,0.1,0.3,0.2,0.2,0.3,0.2,0.2,0.3,0.22,18.79929044,8.413259669,0.240883978,0.185635359,2.324422619
54,L-Backreef,Backreef,54-1,1,Y,13.1,10.1,68,62.6,0.3476,0.154,M,23.7,0.5,0.5,0.4,0.6,0.5,0.5,0.5,0.5,0.5,0.3,0.48,71.47751605,7.824920128,0.24600639,0.555271566,2.784584788
9,E-Fringing,Fringing,2-Sep,2,N,12.5,9.3,54.9,51.1,0.1288,0.1292,M,23.5,0.5,0.4,0.3,0.3,0.5,0.4,0.3,0.4,0.3,0.4,0.38,56.10884479,6.931506849,0.252837573,0.252054795,2.61632
47,I-Backreef,Backreef,47-2,2,Y,13.5,10.1,66.4,61.6,0.4277,0.1558,M,35.6,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.39,87.2357448,6.844967532,0.252922078,0.694318182,2.503683382
55,M-Backreef,Backreef,55-1,1,Y,13.5,9.9,59.2,54.6,0.2899,0.1446,M,24.1,0.3,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.42,63.59840168,7.629120879,0.264835165,0.530952381,2.219173906
35,C-Backreef,Backreef,35-2,2,N,13.4,9.5,59,54.9,0.1853,0.1467,M,33.2,0.3,0.3,0.4,0.2,0.2,0.3,0.3,0.3,0.3,0.6,0.32,66.7525607,6.863387978,0.267213115,0.337522769,2.281696884
39,E-Backreef,Backreef,39-1,1,Y,13,9.3,60.2,55.6,0.2059,0.1539,M,32.9,0.3,0.3,0.3,0.2,0.3,0.4,0.3,0.5,0.2,0.4,0.32,66.14937491,7.626258993,0.276798561,0.370323741,2.530723714
47,I-Backreef,Backreef,47-3,3,Y,14.1,9.9,68,63.4,0.2654,0.1794,M,30.6,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,74.98353346,6.553943218,0.2829653,0.418611987,2.26168397
54,L-Backreef,Backreef,54-4,4,Y,13.6,9.9,64.6,59,0.1332,0.168,M,32.4,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.48,97.7160979,8.981016949,0.284745763,0.225762712,2.345499186
55,M-Backreef,Backreef,55-2,2,Y,13.1,10.1,60.5,55.6,0.2018,0.1638,M,35.1,0.3,0.6,0.4,0.5,0.4,0.5,0.3,0.4,0.4,0.5,0.43,94.83211584,8.155395683,0.294604317,0.36294964,2.473209492
